id,source,question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,difficulty,remarks,datetime_added,status,explanation
1,assistant_practice_set_1,A company wants to track equipment that can be moved between different locations.,Location,Asset,Item,Work Order,,B,easy,Asset = movable equipment.,2026-05-02 05:33:29,active,Correct answer: B. Asset = movable equipment.
2,assistant_practice_set_1,Which status represents a work order that is waiting for approval?,APPR,WAPPR,INPRG,COMP,,B,easy,WAPPR = waiting for approval.,2026-05-02 05:33:29,active,Correct answer: B. WAPPR = waiting for approval.
3,assistant_practice_set_1,A company wants to automatically generate maintenance tasks every 90 days.,Job Plan,Work Order,PM Record,Workflow,,C,easy,PM Record generates scheduled maintenance work.,2026-05-02 05:33:29,active,Correct answer: C. PM Record generates scheduled maintenance work.
4,assistant_practice_set_1,What is the primary purpose of a Job Plan?,Manage inventory,Define steps and labor for work,Track asset location,Approve work orders,,B,medium,Job Plan = how work is performed.,2026-05-02 05:33:29,active,Correct answer: B. Job Plan = how work is performed.
5,assistant_practice_set_1,Which object represents the definition of a spare part?,Inventory,Asset,Item,Location,,C,medium,Item = definition of part; Inventory = stocked quantity.,2026-05-02 05:33:29,active,Correct answer: C. Item = definition of part; Inventory = stocked quantity.
6,assistant_practice_set_1,Which component controls user permissions and access?,Workflow,Organization,Security Groups,Sites,,C,easy,Security Groups control permissions/access.,2026-05-02 05:33:29,active,Correct answer: C. Security Groups control permissions/access.
7,assistant_practice_set_1,Which statement is TRUE about Organizations and Sites?,Sites contain organizations,Organizations contain sites,They are identical,Sites are optional,,B,easy,Organization contains Sites.,2026-05-02 05:33:29,active,Correct answer: B. Organization contains Sites.
8,assistant_practice_set_1,A company wants approval steps before a work order is executed.,Job Plan,Workflow,PM,Asset,,B,easy,Workflow controls approvals and routing.,2026-05-02 05:33:29,active,Correct answer: B. Workflow controls approvals and routing.
9,assistant_practice_set_1,Where is stock physically stored in Maximo?,Location,Asset,Storeroom,Site,,C,medium,Inventory is stored/tracked in storerooms.,2026-05-02 05:33:29,active,Correct answer: C. Inventory is stored/tracked in storerooms.
10,assistant_practice_set_1,A company wants to track reasons for equipment breakdowns.,PM,Failure Codes,Workflow,Job Plan,,B,easy,Failure Codes track problem/cause/remedy.,2026-05-02 05:33:29,active,Correct answer: B. Failure Codes track problem/cause/remedy.
11,assistant_practice_set_1,A technician starts working on a task. What status should the work order be in?,WAPPR,APPR,INPRG,CLOSE,,C,easy,Work started = INPRG.,2026-05-02 05:33:29,active,Correct answer: C. Work started = INPRG.
12,assistant_practice_set_1,Which object is used to group multiple assets under a physical hierarchy?,Item,Location,Work Order,PM,,B,medium,Location hierarchy represents physical structure.,2026-05-02 05:33:29,active,Correct answer: B. Location hierarchy represents physical structure.
13,assistant_practice_set_1,Which feature defines how often maintenance occurs?,Job Plan,Workflow,PM,Asset,,C,easy,PM = when/how often maintenance occurs.,2026-05-02 05:33:29,active,Correct answer: C. PM = when/how often maintenance occurs.
14,assistant_practice_set_1,Which feature defines how the work is performed?,PM,Job Plan,Workflow,Location,,B,easy,Job Plan = how work is done.,2026-05-02 05:33:29,active,Correct answer: B. Job Plan = how work is done.
